review,date_of_review
"I went there alone hoping for some introspection...I got more than I bargained. The hotel was a lovely place to stay in - I like the architecture, even if it's a little bit old fashioned. No fridge in the room meant I had to constantly call room service for ice to cool my drinks...annoying! Some of the furniture was kind of falling apart and needed some repairing. The pool needs constant attention to keep it clean - it was never clean enough. Otherwise I enjoyed the staff friendliness and quick attendance to the requests I made. I felt comfortable and would recommend to anyone. I didn't take the package of the breakfast because I felt it was pricey...it was generally cheaper to order food (breakfast/dinner) via room service or walk to town (not far) to eat out there if I had no other plans.",2015-03-30
"Vic Falls was great, and the hotel is conveniently situated as you can actually walk to the falls. The rooms are clean and comfortable. The restaraunt food however is rather overpriced. There is the Spur and Panarottis in the casino area but they dont have the selection that these outlets do, for example they dont have any hot veg and at times they have no potatoes. I also received a very dirty glass once, so the quality and service standard of these 2 outlets are rather dismal. They are also priced at 2 to 3 times that of a South African Spur so not really value for money there. Food options in the area are a bit low. There is not much variety for vegetarians and a stay longer than a few days would be too difficult if you are vegetarian.

The hotel itself is good. It makes for an okay stay for a few days.",2016-12-09
"Clean, quiet, comfortable, close to town & the falls",2014-07-19
VERY ACCOMODATIVE staff. Plenty of greenry and well developed surroundings.,2014-06-10
The staff were lovely - very friendly and helpful.The hotel is next to a path that runs alongside the river and a strolling along the path is a great opportunity to watch the wildlife,2017-04-04
"Noise created by the air condition disturbed sleep at night.
Restaurants quality should improve.",2023-02-12
The location close to the Falls helped us walk. The directions to reach the Falls were not good for a first time visitor.,2014-10-02
"We stayed at the Kingdom for 2 nights from the 9/7/14 to the 11 /7/14 . We enjoyed our stay however identified the following as areas for improvement.

In our room we could not completely close the privacy screen behind the sliding class doors which provided access to the balcony leaving us exposed. The rooms did not contain an iron or ironing board and must be requested. While staff will deliver to your room upon request they are also very anxious to retrieve it. Not sure why this is, perhaps they only have a few available for the entire hotel but this became a little inconvenient for us.

The quality of food available for breakfast was fine however during the ""peak breakfast rush"" at around 7.30 to 8.30am some basic things such as bread for toast, and condiments were not available even when requested from staff.

Staff were courteous enough, however the table service for breakfast was poor. We were asked by a number of waiters if we would like coffee/tea with our breakfast and despite confirming that we did, we did not receive anything. On our first morning we were shown to a table then invited to help ourselves to the buffet and upon returning to our table found that other guests had been seated at our table.

None of these issues would prevent us from returning, however they do detract a little from the experience and may put some people off.",2019-12-05
"Have stayed here numerous times and the quality and service is still great. The breakfast buffet is amazing and the evening buffet has so many choices. Find the bar relaxing and friendly. Have sent my friends there the past two months as they have had business meetings in town. Even though I pay, they have had no problem checking in. They have another quick meeting in August.
Great property.",2018-03-09
"Loved our stay here. The staff were great. The room was clean and comfortable, and baboons and warthogs wandered past our balcony. Only a short walk to the falls, although the street vendors could be a pest. Would love to stay here again.",2023-11-24
"Nice, and very close to the Falls.",2023-01-31
"The Kingdom still has the best swimming pools in Vic Falls so if you’re planning on spending a lot of time by a pool- a visit to the Kingdom is definitely worth it. On arrival, we had some traditional ‘warriors’ collect our bags from the car and were given wet towels and fruit juice at reception. The room was lovely, spacious and clean however I wasn’t pleased at the level of service I’d received with regards to the room. When I arrived, I was checked in to a room facing the back of the hotel (which was just grass) and had 2 twin beds pushed together claiming to be a King sized bed, which was what I paid for. I got another room from reception without any hassle but as the hotel was empty, it amazed me that the few guests they had staying there weren’t given the best rooms they had. The time taken to receive drink and food orders is atrocious…at one point it took them half an hour to get a pepsi light from a bar that was a few feet away. As far as entertainment goes, there’s not a lot to do in the evenings at the Kingdom as the casino bar is never fully stocked, the machines at the casino’s all seem to have something broken, and all the chairs at the bar are falling apart. It probably doesn’t sound like it, but I did enjoy my stay at the Kingdom. It’s just upsetting to see what it’s become from what it was a decade ago.",2015-07-28
"Conveniently close to falls, station and town. Nice pool and dining area. Just expensive for ordinary South Africans. Staff very friendly especially at the adventure booking centre.",2019-05-17
"Everything was great, rooms good except no fridge. Service excellent.",2019-07-16
Staff is always polite and helpful. Breakfast is very nice. We stay here a few times a year and really do enjoy it. However the price continues to increase.,2016-04-05
It was lovely,2019-12-03
Falls can be conveniently reached through a path located at the rear of the hotel. Only annoying issue is that the moment you exit the hotel you will be surrounded by locals selling al kind of local handcrafts at high prices.,2020-10-25
Wonderful stay. Beautiful hotel in the African bush.Would go there anytime again.,2018-12-28
The hotel had a nice feel and breakfast was great. I thought it was a bit expensive for what you actually get but it was in a good location. The hotel was clean and reasonably well maintained but we found that the water was not hot. A person finally fixed the problem at after 9.30pm saying that the hot water had been turned off in another area. Our hot water was not working the in afternoon when we checked. Apart form that it was a good hotel.,2017-08-17
"Great stay, would recommend this.",2014-01-14
"Arrived for a one night stay at the end of an overland trip. Welcomed on arrival with refreshing lemonade and helpful door staff. Room was clean, spacious and had a view of Victoria Falls national park. Hotel is generally open plan with several swimming pools and wildlife in the grounds. Breakfast was a plentiful buffet. Would definitely stay here again.",2021-03-07
"Warm welcome from the hotel staff,no issues checking in, requested for room for our 2 older kids close to us which was done,nice room with pool views.The food was delicious and had a section with traditional foods ,the chef could prepare for you food as per request ie omellets,traditional dancers were good. Clean rooms. The manager was very helpful and I had a surprise birthday day cake and coffee from the hotel.The only thing I would suggest is maybe free internet access for guests,but overall very pleasant stay and would stay again next time.Well done Kingdom hotel!!!!!!!",2016-10-12
"This hotel is fantastic, we had a glorious experience ! The whole scenery is so beautiful, more so because of the Africa theme that is so evident and so appropriate.

The staff is so professional the customer care is next to none!
The food is excellent although I would suggest that the food warmers be improved to ensure that food when served is hot",2019-01-07
